Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
22-Oct-21,18:35,905.85,1.16,0.13,904.7,904.26,906.2,"120,741"
22-Oct-21,18:30,904.69,-0.23,-0.03,904.94,904.69,905.83,"111,114"
22-Oct-21,18:25,904.92,0.67,0.07,904.2,903.67,905.06,"67,616"
22-Oct-21,18:20,904.25,-1.44,-0.16,905.35,903.52,905.43,"103,162"
22-Oct-21,18:15,905.69,0.1,0.01,905.64,904.63,906.04,"123,102"
22-Oct-21,18:10,905.59,0.5,0.06,905.33,905.02,906.3,"115,003"
22-Oct-21,18:05,905.09,1.32,0.15,903.79,903.13,905.23,"128,249"
22-Oct-21,18:00,903.77,-1.78,-0.2,905.71,903.12,905.88,"144,467"
22-Oct-21,17:55,905.56,-0.78,-0.09,906.34,905.01,906.34,"124,350"
22-Oct-21,17:50,906.34,-0.54,-0.06,906.89,906.12,907.88,"218,688"
22-Oct-21,17:45,906.88,0.61,0.07,906.26,905.55,907.2,"211,159"
22-Oct-21,17:40,906.27,1.01,0.11,905.34,904.85,906.29,"123,457"
22-Oct-21,17:35,905.26,0.03,0,905.24,904.1,905.39,"100,970"
22-Oct-21,17:30,905.23,0.84,0.09,904.48,904.07,905.43,"150,318"
22-Oct-21,17:25,904.4,-1.72,-0.19,906.21,904.09,906.21,"188,176"
22-Oct-21,17:20,906.11,3.51,0.39,902.6,902.36,906.58,"283,073"
22-Oct-21,17:15,902.6,0.4,0.04,902.24,901.33,903.16,"122,138"
22-Oct-21,17:10,902.2,0.24,0.03,901.98,901.8,903.67,"208,950"
22-Oct-21,17:05,901.96,-0.41,-0.05,902.35,900.62,902.47,"142,526"
22-Oct-21,17:00,902.37,1.95,0.22,900.49,900.43,902.69,"300,272"
22-Oct-21,16:55,900.42,2.18,0.24,898.2,898.19,900.85,"218,681"
22-Oct-21,16:50,898.24,-1.44,-0.16,899.54,897.34,899.54,"175,263"
22-Oct-21,16:45,899.68,2.49,0.28,897.16,897.15,899.86,"261,348"
22-Oct-21,16:40,897.19,-3.16,-0.35,900.26,897.18,901,"336,681"
22-Oct-21,16:35,900.35,-2.55,-0.28,902.87,898.77,903.11,"420,182"
22-Oct-21,16:30,902.91,1.05,0.12,901.88,901.03,903,"223,603"
22-Oct-21,16:25,901.85,-1.82,-0.2,903.72,901.19,903.72,"332,631"
22-Oct-21,16:20,903.67,-1.06,-0.12,904.67,902.84,905.26,"410,058"
22-Oct-21,16:15,904.73,-1.76,-0.19,906.45,904.56,906.57,"159,262"
22-Oct-21,16:10,906.49,0.17,0.02,906.51,906.03,907.52,"168,879"
22-Oct-21,16:05,906.32,1.24,0.14,905.16,904.28,906.7,"203,969"
22-Oct-21,16:00,905.08,0.28,0.03,904.71,904.45,905.66,"145,509"
22-Oct-21,15:55,904.8,-1.03,-0.11,905.82,904.3,905.89,"242,068"
22-Oct-21,15:50,905.83,-0.02,0,905.84,905.44,908,"305,773"
22-Oct-21,15:45,905.85,-0.79,-0.09,906.67,904.62,906.78,"329,237"
22-Oct-21,15:40,906.64,-1,-0.11,907.55,906,907.71,"308,605"
22-Oct-21,15:35,907.64,-1.49,-0.16,909,906.72,909.5,"395,515"
22-Oct-21,15:30,909.13,0.23,0.03,908.81,908.5,910,"520,818"
22-Oct-21,15:25,908.9,1.89,0.21,906.82,906.75,908.99,"389,356"
22-Oct-21,15:20,907,-0.15,-0.02,907.3,906,907.82,"357,047"
22-Oct-21,15:15,907.15,2.03,0.22,905.47,904.38,907.88,"443,944"
22-Oct-21,15:10,905.12,-0.64,-0.07,905.81,903.84,905.87,"328,400"
22-Oct-21,15:05,905.77,0.76,0.08,904.84,903.7,907.14,"660,177"
22-Oct-21,15:00,905,3.57,0.4,901.29,900.31,905.3,"713,989"
22-Oct-21,14:55,901.43,-0.09,-0.01,901.45,898.21,902.18,"521,101"
22-Oct-21,14:50,901.52,0.27,0.03,901.06,896.9,902.24,"617,911"
22-Oct-21,14:45,901.25,2.41,0.27,898.95,898.25,902.5,"614,206"
22-Oct-21,14:40,898.84,-3.45,-0.38,902.11,895.88,903.32,"1,068,354"
22-Oct-21,14:35,902.29,8.29,0.93,895.5,890.96,902.44,"1,615,882"
21-Oct-21,21:05,894,0.4,0.04,894,894,894,"610,293"
21-Oct-21,21:00,893.6,-0.69,-0.08,894.38,893.5,894.75,"636,438"
21-Oct-21,20:55,894.3,0.5,0.06,893.7,893.62,894.7,"344,513"
