Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
21-Oct-21,06:30,"50,260.00",0,0,"50,260.00","50,240.00","50,290.00","5,200"
21-Oct-21,06:25,"50,260.00",-40,-0.08,"50,300.00","50,260.00","50,320.00","4,400"
21-Oct-21,06:20,"50,300.00",30,0.06,"50,270.00","50,250.00","50,320.00","6,500"
21-Oct-21,06:15,"50,270.00",20,0.04,"50,250.00","50,230.00","50,270.00","3,100"
21-Oct-21,06:10,"50,250.00",-10,-0.02,"50,250.00","50,230.00","50,280.00","2,800"
21-Oct-21,06:05,"50,260.00",-90,-0.18,"50,340.00","50,260.00","50,350.00","6,900"
21-Oct-21,06:00,"50,350.00",80,0.16,"50,290.00","50,280.00","50,380.00","11,400"
21-Oct-21,05:55,"50,270.00",50,0.1,"50,230.00","50,220.00","50,290.00","4,900"
21-Oct-21,05:50,"50,220.00",-30,-0.06,"50,240.00","50,210.00","50,250.00","2,800"
21-Oct-21,05:45,"50,250.00",30,0.06,"50,200.00","50,180.00","50,270.00","4,500"
21-Oct-21,05:40,"50,220.00",60,0.12,"50,130.00","50,130.00","50,220.00","8,400"
21-Oct-21,05:35,"50,160.00",60,0.12,"50,100.00","50,040.00","50,160.00","9,800"
21-Oct-21,05:30,"50,100.00",10,0.02,"50,110.00","50,050.00","50,130.00","6,400"
21-Oct-21,05:25,"50,090.00",-90,-0.18,"50,160.00","50,080.00","50,170.00","7,500"
21-Oct-21,05:20,"50,180.00",-60,-0.12,"50,240.00","50,110.00","50,240.00","9,200"
21-Oct-21,05:15,"50,240.00",-50,-0.1,"50,280.00","50,210.00","50,290.00","7,600"
21-Oct-21,05:10,"50,290.00",-70,-0.14,"50,360.00","50,280.00","50,360.00","6,200"
21-Oct-21,05:05,"50,360.00",20,0.04,"50,360.00","50,360.00","50,420.00","6,300"
21-Oct-21,05:00,"50,340.00",30,0.06,"50,300.00","50,300.00","50,360.00","3,800"
21-Oct-21,04:55,"50,310.00",-60,-0.12,"50,360.00","50,300.00","50,380.00","5,000"
21-Oct-21,04:50,"50,370.00",-40,-0.08,"50,400.00","50,370.00","50,410.00","4,500"
21-Oct-21,04:45,"50,410.00",30,0.06,"50,370.00","50,360.00","50,430.00","7,000"
21-Oct-21,04:40,"50,380.00",-20,-0.04,"50,390.00","50,360.00","50,410.00","6,400"
21-Oct-21,04:35,"50,400.00",-190,-0.38,"50,560.00","50,360.00","50,560.00","23,000"
21-Oct-21,03:35,"50,590.00",0,0,"50,590.00","50,590.00","50,590.00","5,500"
21-Oct-21,03:30,"50,590.00",70,0.14,"50,510.00","50,510.00","50,650.00","17,200"
21-Oct-21,03:25,"50,520.00",40,0.08,"50,490.00","50,490.00","50,520.00","2,800"
21-Oct-21,03:20,"50,480.00",-10,-0.02,"50,470.00","50,460.00","50,510.00","5,600"
21-Oct-21,03:15,"50,490.00",-20,-0.04,"50,520.00","50,450.00","50,540.00","6,600"
21-Oct-21,03:10,"50,510.00",50,0.1,"50,460.00","50,460.00","50,550.00","12,800"
21-Oct-21,03:05,"50,460.00",110,0.22,"50,350.00","50,350.00","50,480.00","11,600"
21-Oct-21,03:00,"50,350.00",110,0.22,"50,220.00","50,220.00","50,370.00","9,300"
21-Oct-21,02:55,"50,240.00",40,0.08,"50,200.00","50,140.00","50,260.00","8,900"
21-Oct-21,02:50,"50,200.00",-30,-0.06,"50,240.00","50,170.00","50,250.00","6,900"
21-Oct-21,02:45,"50,230.00",-40,-0.08,"50,260.00","50,230.00","50,280.00","3,600"
21-Oct-21,02:40,"50,270.00",-30,-0.06,"50,300.00","50,230.00","50,310.00","6,200"
21-Oct-21,02:35,"50,300.00",-10,-0.02,"50,330.00","50,300.00","50,350.00","4,500"
21-Oct-21,02:30,"50,310.00",40,0.08,"50,270.00","50,260.00","50,340.00","7,300"
21-Oct-21,02:25,"50,270.00",20,0.04,"50,260.00","50,240.00","50,340.00","10,600"
21-Oct-21,02:20,"50,250.00",-60,-0.12,"50,300.00","50,230.00","50,340.00","8,500"
21-Oct-21,02:15,"50,310.00",90,0.18,"50,200.00","50,200.00","50,360.00","9,000"
21-Oct-21,02:10,"50,220.00",70,0.14,"50,180.00","50,170.00","50,310.00","18,000"
21-Oct-21,02:05,"50,150.00",50,0.1,"50,110.00","50,070.00","50,180.00","10,800"
21-Oct-21,02:00,"50,100.00",60,0.12,"50,030.00","50,020.00","50,150.00","7,200"
21-Oct-21,01:55,"50,040.00",20,0.04,"50,020.00","49,980.00","50,100.00","13,900"
21-Oct-21,01:50,"50,020.00",-130,-0.26,"50,160.00","50,020.00","50,160.00","10,900"
21-Oct-21,01:45,"50,150.00",-30,-0.06,"50,180.00","50,100.00","50,190.00","9,200"
21-Oct-21,01:40,"50,180.00",110,0.22,"50,090.00","50,070.00","50,250.00","9,800"
21-Oct-21,01:35,"50,070.00",-90,-0.18,"50,180.00","50,060.00","50,220.00","10,800"
21-Oct-21,01:30,"50,160.00",-120,-0.24,"50,270.00","50,020.00","50,280.00","17,200"
21-Oct-21,01:25,"50,280.00",280,0.56,"50,010.00","49,960.00","50,280.00","24,300"
21-Oct-21,01:20,"50,000.00",40,0.08,"49,950.00","49,830.00","50,130.00","25,700"
21-Oct-21,01:15,"49,960.00",90,0.18,"49,900.00","49,860.00","50,080.00","34,700"
21-Oct-21,01:10,"49,870.00",-90,-0.18,"49,980.00","49,800.00","50,010.00","31,300"
21-Oct-21,01:05,"49,960.00",-340,-0.68,"49,690.00","49,370.00","50,090.00","123,700"
20-Oct-21,07:05,"50,300.00",-20,-0.04,"50,300.00","50,300.00","50,300.00","78,500"
20-Oct-21,07:00,"50,320.00",20,0.04,"50,300.00","50,230.00","50,340.00","31,400"
20-Oct-21,06:55,"50,300.00",80,0.16,"50,220.00","50,220.00","50,320.00","18,300"
20-Oct-21,06:50,"50,220.00",-50,-0.1,"50,270.00","50,210.00","50,280.00","13,500"
20-Oct-21,06:45,"50,270.00",30,0.06,"50,240.00","50,230.00","50,270.00","12,600"
20-Oct-21,06:40,"50,240.00",0,0,"50,250.00","50,240.00","50,280.00","10,500"
20-Oct-21,06:35,"50,240.00",-50,-0.1,"50,300.00","50,230.00","50,300.00","10,700"
20-Oct-21,06:30,"50,290.00",80,0.16,"50,210.00","50,210.00","50,290.00","7,600"
20-Oct-21,06:25,"50,210.00",-60,-0.12,"50,270.00","50,210.00","50,290.00","7,400"
20-Oct-21,06:20,"50,270.00",110,0.22,"50,190.00","50,190.00","50,270.00","10,100"
20-Oct-21,06:15,"50,160.00",10,0.02,"50,160.00","50,130.00","50,190.00","8,500"
20-Oct-21,06:10,"50,150.00",-10,-0.02,"50,150.00","50,100.00","50,170.00","11,200"
20-Oct-21,06:05,"50,160.00",10,0.02,"50,150.00","50,140.00","50,170.00","6,200"
20-Oct-21,06:00,"50,150.00",0,0,"50,140.00","50,110.00","50,150.00","10,600"
20-Oct-21,05:55,"50,150.00",-50,-0.1,"50,210.00","50,140.00","50,250.00","11,600"
20-Oct-21,05:50,"50,200.00",-90,-0.18,"50,300.00","50,200.00","50,320.00","11,800"
20-Oct-21,05:45,"50,290.00",0,0,"50,310.00","50,270.00","50,340.00","9,200"
20-Oct-21,05:40,"50,290.00",0,0,"50,290.00","50,280.00","50,330.00","9,200"
20-Oct-21,05:35,"50,290.00",140,0.28,"50,140.00","50,140.00","50,310.00","23,300"
20-Oct-21,05:30,"50,150.00",80,0.16,"50,070.00","50,070.00","50,210.00","19,700"
20-Oct-21,05:25,"50,070.00",-20,-0.04,"50,080.00","50,050.00","50,090.00","6,700"
20-Oct-21,05:20,"50,090.00",40,0.08,"50,050.00","50,030.00","50,110.00","5,700"
20-Oct-21,05:15,"50,050.00",-20,-0.04,"50,070.00","50,020.00","50,100.00","8,400"
20-Oct-21,05:10,"50,070.00",30,0.06,"50,030.00","50,030.00","50,110.00","8,900"
20-Oct-21,05:05,"50,040.00",50,0.1,"49,990.00","49,990.00","50,100.00","9,100"
20-Oct-21,05:00,"49,990.00",-60,-0.12,"50,050.00","49,980.00","50,120.00","19,400"
20-Oct-21,04:55,"50,050.00",20,0.04,"50,030.00","50,030.00","50,150.00","14,800"
20-Oct-21,04:50,"50,030.00",50,0.1,"49,990.00","49,990.00","50,080.00","14,900"
20-Oct-21,04:45,"49,980.00",130,0.26,"49,850.00","49,770.00","49,990.00","32,700"
20-Oct-21,04:40,"49,850.00",-100,-0.2,"49,940.00","49,830.00","49,970.00","27,200"
20-Oct-21,04:35,"49,950.00",-70,-0.14,"50,000.00","49,900.00","50,040.00","58,000"
20-Oct-21,03:35,"50,020.00",-10,-0.02,"50,020.00","50,020.00","50,020.00","4,200"
20-Oct-21,03:30,"50,030.00",-40,-0.08,"50,070.00","50,010.00","50,080.00","15,600"
20-Oct-21,03:25,"50,070.00",-110,-0.22,"50,160.00","50,070.00","50,170.00","18,000"
20-Oct-21,03:20,"50,180.00",-10,-0.02,"50,170.00","50,130.00","50,190.00","10,300"
20-Oct-21,03:15,"50,190.00",-90,-0.18,"50,270.00","50,140.00","50,270.00","23,800"
20-Oct-21,03:10,"50,280.00",-40,-0.08,"50,310.00","50,250.00","50,310.00","24,400"
20-Oct-21,03:05,"50,320.00",-100,-0.2,"50,410.00","50,310.00","50,460.00","19,000"
20-Oct-21,03:00,"50,420.00",-80,-0.16,"50,500.00","50,360.00","50,500.00","25,700"
20-Oct-21,02:55,"50,500.00",-20,-0.04,"50,520.00","50,470.00","50,520.00","4,900"
20-Oct-21,02:50,"50,520.00",10,0.02,"50,510.00","50,460.00","50,530.00","11,500"
20-Oct-21,02:45,"50,510.00",-50,-0.1,"50,560.00","50,450.00","50,570.00","23,400"
20-Oct-21,02:40,"50,560.00",-60,-0.12,"50,620.00","50,520.00","50,620.00","10,700"
20-Oct-21,02:35,"50,620.00",-20,-0.04,"50,670.00","50,580.00","50,710.00","12,100"
20-Oct-21,02:30,"50,640.00",120,0.24,"50,560.00","50,540.00","50,660.00","12,600"
20-Oct-21,02:25,"50,520.00",-100,-0.2,"50,640.00","50,510.00","50,690.00","16,500"
20-Oct-21,02:20,"50,620.00",-70,-0.14,"50,690.00","50,600.00","50,770.00","13,500"
20-Oct-21,02:15,"50,690.00",-100,-0.2,"50,770.00","50,670.00","50,780.00","10,100"
20-Oct-21,02:10,"50,790.00",-50,-0.1,"50,830.00","50,750.00","50,860.00","13,000"
20-Oct-21,02:05,"50,840.00",160,0.32,"50,680.00","50,680.00","50,890.00","15,300"
20-Oct-21,02:00,"50,680.00",-10,-0.02,"50,690.00","50,680.00","50,750.00","9,100"
20-Oct-21,01:55,"50,690.00",120,0.24,"50,580.00","50,500.00","50,740.00","14,000"
20-Oct-21,01:50,"50,570.00",70,0.14,"50,500.00","50,460.00","50,630.00","18,000"
20-Oct-21,01:45,"50,500.00",-30,-0.06,"50,560.00","50,430.00","50,590.00","28,200"
20-Oct-21,01:40,"50,530.00",-210,-0.41,"50,740.00","50,520.00","50,790.00","24,900"
20-Oct-21,01:35,"50,740.00",10,0.02,"50,720.00","50,660.00","50,800.00","20,600"
20-Oct-21,01:30,"50,730.00",90,0.18,"50,660.00","50,620.00","50,770.00","26,100"
20-Oct-21,01:25,"50,640.00",60,0.12,"50,600.00","50,420.00","50,680.00","32,000"
20-Oct-21,01:20,"50,580.00",10,0.02,"50,540.00","50,360.00","50,610.00","34,000"
20-Oct-21,01:15,"50,570.00",70,0.14,"50,510.00","50,310.00","50,660.00","50,300"
20-Oct-21,01:10,"50,500.00",-270,-0.53,"50,730.00","50,470.00","51,000.00","102,600"
20-Oct-21,01:05,"50,770.00","-1,580.00",-3.02,"51,430.00","50,600.00","51,600.00","192,000"
19-Oct-21,07:05,"52,350.00",-20,-0.04,"52,350.00","52,350.00","52,350.00","45,800"
19-Oct-21,07:00,"52,370.00",-60,-0.11,"52,430.00","52,370.00","52,430.00","20,000"
19-Oct-21,06:55,"52,430.00",0,0,"52,430.00","52,400.00","52,460.00","9,900"
19-Oct-21,06:50,"52,430.00",20,0.04,"52,410.00","52,390.00","52,450.00","9,100"
19-Oct-21,06:45,"52,410.00",10,0.02,"52,410.00","52,390.00","52,420.00","6,100"
19-Oct-21,06:40,"52,400.00",-20,-0.04,"52,420.00","52,400.00","52,430.00","6,200"
19-Oct-21,06:35,"52,420.00",-20,-0.04,"52,440.00","52,410.00","52,460.00","6,700"
19-Oct-21,06:30,"52,440.00",0,0,"52,440.00","52,410.00","52,450.00","6,000"
19-Oct-21,06:25,"52,440.00",40,0.08,"52,410.00","52,390.00","52,440.00","4,100"
19-Oct-21,06:20,"52,400.00",-30,-0.06,"52,430.00","52,400.00","52,450.00","9,500"
19-Oct-21,06:15,"52,430.00",10,0.02,"52,440.00","52,400.00","52,460.00","6,700"
19-Oct-21,06:10,"52,420.00",-30,-0.06,"52,450.00","52,420.00","52,450.00","4,100"
19-Oct-21,06:05,"52,450.00",-30,-0.06,"52,480.00","52,440.00","52,480.00","5,200"
